id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
8651774,Funko POP Disney,Moana [Entertainment Earth Exclusive] #1378,,,,,,,,,,,,,,,,,,889698739566,1,Entertainment Earth Exclusive Limited Edition,,,,2023-10-25
8670766,Funko POP Disney,Moana [Translucent] #1378,,,,,,,,,,,,,,,,,,889698739566,1,Moana.  Entertainment Earth Exclusive,,,,2023-10-25
7473809,Funko POP Disney,Moana and Pua #213,$3.00,$9.84,$15.00,,,,,,,,,,$3.29,$2.80,$10.99,$4.30,$16.99,849803099268,8,Moana,,,,2016-01-01
7483639,Funko POP Disney,Monster Jack-Jack #401,$8.26,$13.11,$13.87,,,,,,,,,$1.80,$9.09,$3.50,$13.99,$3.80,$14.99,889698292054,1,The Incredibles 2,,,,
7488160,Funko POP Disney,Monster Stitch #1049,$10.09,$11.00,$13.09,,,,,,,,,$2.80,$10.99,$3.00,$11.99,$3.50,$13.99,889698561198,1,Lilo & Stitch,,,,2021-01-01
7483715,Funko POP Disney,Monterey Jack #465,$2.64,$3.50,$4.40,,,,,,,,,,$2.99,$0.80,$3.89,$1.00,$4.79,889698348232,1,Chip & Dale Rescue Rangers,,,,
7483714,Funko POP Disney,Monterey Jack [Chase] #465,$11.39,$18.55,$18.99,,,,,,,,,$3.30,$12.99,$5.00,$19.99,$6.30,$20.99,739761867507,1,Chip & Dale Rescue Rangers,,,,
7483959,Funko POP Disney,Moonwind #746,$4.95,$6.24,$8.62,,,,,,,,,$1.10,$5.49,$1.40,$6.89,$1.90,$9.49,889698480208,1,Soul,,,,
7473539,Funko POP Disney,Mowgli #100,$11.86,$17.00,$19.66,,,,,,,,,$3.30,$12.99,$4.80,$18.99,$6.60,$21.99,849803040390,1,The Jungle Book,,,,2014-01-01
8035293,Funko POP Disney,Mowgli With Ka'A [Very Neko] #987,$7.19,$10.98,$11.99,,,,,,,,,$1.60,$7.89,$3.00,$11.99,$3.30,$12.99,889698514149,1,"	The Jungle Book. Very Neko Exclusive",,,,
7488085,Funko POP Disney,Mowgli with Ka'a #987,$5.00,$6.49,$14.99,,,,,,,,,$1.10,$5.49,$1.40,$7.09,$4.00,$15.99,889698514149,1,The Jungle Book. Special Edition,,,,2020-01-01
7473780,Funko POP Disney,Mr. Big #188,$7.92,$10.00,$11.28,,,,,,,,,$1.70,$8.69,$2.80,$10.99,$3.00,$11.99,849803071530,1,Zootopia,,,,2016-01-01
7473279,Funko POP Disney,Mr. Incredible #17,$13.21,$30.00,$35.33,,,,,,,,,$3.80,$14.99,$9.90,$32.99,$15.60,$38.99,830395024707,6,Disney Store,,,,2011-01-01
7474122,Funko POP Disney,Mr. Incredible #363,$7.00,$9.00,$11.16,,,,,,,,,$1.50,$7.69,$2.00,$9.89,$3.00,$11.99,889698292009,1,The Incredibles 2,,,,
7474123,Funko POP Disney,Mr. Incredible [Chase] #363,,,,,,,,,,,,,,,,,,,1,The Incredibles 2,,,,
7473280,Funko POP Disney,Mr. Incredible [SDCC] #17,$571.18,$809.00,$951.96,,,,,,,,,$376.80,$628.00,$534.00,$890.00,$628.20,$1047.00,,1,Disney Store,,,,2011-01-01
7483955,Funko POP Disney,Mr. Mittens #743,$2.00,$16.25,$16.49,,,,,,,,,,$2.99,$4.50,$17.99,$4.50,$17.99,889698479523,1,Soul,,,,
7483960,Funko POP Disney,Mr. Mittens #747,$2.00,$6.99,$8.75,,,,,,,,,,$2.99,$1.50,$7.69,$1.90,$9.59,889698479516,1,Soul,,,,
7483834,Funko POP Disney,Mr. Pricklepants #562,$8.39,$12.98,$13.63,,,,,,,,,$1.80,$9.19,$3.50,$13.99,$3.80,$14.99,889698401647,1,Toy Story,,,,
7474017,Funko POP Disney,Mr. Toad #291,$66.00,$74.99,$110.00,,,,,,,,,$29.20,$72.99,$32.80,$81.99,$60.50,$121.00,889698146807,1,Mr. Toad's Wild Ride,,,,
7484038,Funko POP Disney,Mr. Toad #814,$3.00,$3.62,$11.97,,,,,,,,,,$3.29,$0.80,$3.99,$3.30,$12.99,889698511728,1,Disney Land: 65th Anniversary,,,,
8223933,Funko POP Disney,Mrs Jumbo With Dumbo #1537,$23.99,$34.00,$39.99,,,,,,,,,$7.80,$25.99,$14.80,$36.99,$17.60,$43.99,,1,Super Pop,,,,
7483976,Funko POP Disney,Mrs. Incredible #762,$3.30,$4.50,$5.44,,,,,,,,,,$3.59,$1.00,$4.99,$1.20,$5.99,889698496025,1,Alien Remix,,,,
7483777,Funko POP Disney,Mrs. Nesbitt #518,$9.60,$11.00,$12.99,,,,,,,,,$2.80,$10.99,$3.00,$11.99,$3.50,$13.99,889698370110,1,Toy Story,,,,
7473916,Funko POP Disney,Mrs. Potts and Chip #246,$8.69,$9.95,$12.71,,,,,,,,,$1.90,$9.59,$2.80,$10.99,$3.50,$13.99,889698123211,1,Beauty and the Beast,,,,2016-01-01
7473528,Funko POP Disney,Mrs. Potts and Chip #92,$15.22,$16.94,$24.32,,,,,,,,,$4.30,$16.99,$4.80,$18.99,$8.10,$26.99,849803038984,7,Beauty and the Beast,,,,2014-01-01
7483636,Funko POP Disney,Mrs. Whatsit #398,$0.68,$1.00,$1.13,,,,,,,,,,$2.99,,$2.99,,$2.99,889698316385,1,A Wrinkle in Time,,,,
7483635,Funko POP Disney,Mrs. Which #397,$4.00,$4.99,$11.21,,,,,,,,,$0.90,$4.39,$1.10,$5.49,$3.00,$11.99,889698316378,1,A Wrinkle in Time,,,,
7491148,Funko POP Disney,"Mrs. Which, Mrs. Whatsit, Mrs. Who",$7.49,$11.00,$12.49,,,,,,,,,$1.60,$8.19,$3.00,$11.99,$3.50,$13.99,889698225069,1,A Wrinkle in Time,,,,
7483637,Funko POP Disney,Mrs. Who #399,,,,,,,,,,,,,,,,,,889698316392,1,A Wrinkle in Time,,,,
7483750,Funko POP Disney,Mufasa #495,$5.00,$7.00,$7.74,,,,,,,,,$1.10,$5.49,$1.50,$7.69,$1.70,$8.49,889698448390,4,The Lion King,,,,2018-01-01
7483751,Funko POP Disney,Mufasa [Flocked] #495,$9.89,$13.27,$18.99,,,,,,,,,$2.80,$10.99,$3.80,$14.99,$6.30,$20.99,889698364157,1,The Lion King,,,,2018-01-01
7483752,Funko POP Disney,Mufasa [Starry Skies] #495,,,,,,,,,,,,,,,,,,,1,The Lion King,,,,2018-01-01
7488122,Funko POP Disney,Mulan #1020,$7.20,$9.00,$10.92,,,,,,,,,$1.60,$7.89,$2.00,$9.89,$3.00,$11.99,889698563529,1,Disney Ultimate Princess Celebration,,,,
7473753,Funko POP Disney,Mulan #166,$7.00,$9.95,$11.44,,,,,,,,,$1.50,$7.69,$2.80,$10.99,$3.30,$12.99,849803058975,7,Mulan,,,,2015-01-01
7474059,Funko POP Disney,Mulan #323,$6.00,$7.97,$13.76,,,,,,,,,$1.30,$6.59,$1.80,$8.79,$3.80,$14.99,889698565721,4,Mulan,,,,2017-01-01
7483913,Funko POP Disney,Mulan #629,$6.00,$9.98,$13.43,,,,,,,,,$1.30,$6.59,$2.80,$10.99,$3.80,$14.99,889698453257,18,Mulan,,,,
7483922,Funko POP Disney,Mulan #637,$8.30,$12.50,$13.42,,,,,,,,,$1.80,$9.09,$3.50,$13.99,$3.80,$14.99,889698460965,1,Mulan Live Action,,,,
7483923,Funko POP Disney,Mulan #638,$2.99,$6.95,$12.97,,,,,,,,,,$3.29,$1.50,$7.69,$3.50,$13.99,889698460972,1,Mulan Live Action,,,,
7474060,Funko POP Disney,Mulan [Diamond] #323,$9.82,$10.45,$16.43,,,,,,,,,$2.80,$10.99,$3.00,$11.99,$4.50,$17.99,889698291309,1,Mulan,,,,2017-01-01
7474061,Funko POP Disney,Mulan [Gold] #323,$12.88,$17.00,$20.29,,,,,,,,,$3.50,$13.99,$4.80,$18.99,$6.60,$21.99,889698565721,1,Ultimate Princess,,,,2022-01-01
7483847,Funko POP Disney,Mulch Diggems #573,$1.00,$1.00,$3.50,,,,,,,,,,$2.99,,$2.99,$0.80,$3.89,889698402118,1,Artemis Fowl,,,,2019-01-01
7483883,Funko POP Disney,Mummy Boy #600,$2.99,$8.00,$9.24,,,,,,,,,,$3.29,$1.80,$8.79,$2.00,$9.99,889698426749,1,Nightmare Before Christmas,,,,
